Day of created_at_local,Id (Hist Views),id (hist_projects),project_id,username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Day of the week,Number of Records,tz_offset_days
2022년 3월 10일,3577,4,4,6363,Access View,2022-03-10 오전 10:23:54,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:23:54,Thursday,1,0.375
2022년 3월 10일,3581,4,4,5947,Access View,2022-03-10 오전 10:25:07,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:25:07,Thursday,1,0.375
2022년 3월 10일,3581,4,4,5947,Access View,2022-03-10 오전 10:25:13,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:25:13,Thursday,1,0.375
2022년 3월 10일,3585,4,4,5947,Access View,2022-03-10 오전 10:29:15,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:29:15,Thursday,1,0.375
2022년 3월 10일,3585,4,4,5947,Access View,2022-03-10 오전 10:38:31,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:38:31,Thursday,1,0.375
2022년 3월 10일,3585,4,4,5947,Access View,2022-03-10 오전 10:39:11,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:39:11,Thursday,1,0.375
2022년 3월 10일,3585,4,4,6363,Access View,2022-03-10 오전 10:45:08,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:45:08,Thursday,1,0.375
2022년 3월 10일,3589,4,4,5947,Access View,2022-03-10 오전 10:48:57,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:48:57,Thursday,1,0.375
2022년 3월 10일,3589,4,4,5947,Access View,2022-03-10 오전 10:49:05,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:49:05,Thursday,1,0.375
2022년 3월 10일,3588,4,4,5947,Access View,2022-03-10 오전 10:49:14,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 1:49:14,Thursday,1,0.375
2022년 3월 10일,3589,4,4,5947,Access View,2022-03-10 오전 10:49:19,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:49:19,Thursday,1,0.375
2022년 3월 10일,3586,4,4,5947,Access View,2022-03-10 오전 10:53:07,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:53:07,Thursday,1,0.375
2022년 3월 10일,3587,4,4,5947,Access View,2022-03-10 오전 10:53:22,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 1:53:22,Thursday,1,0.375
2022년 3월 10일,3588,4,4,5947,Access View,2022-03-10 오전 10:53:35,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 1:53:35,Thursday,1,0.375
2022년 3월 10일,3589,4,4,5947,Access View,2022-03-10 오전 10:53:45,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:53:45,Thursday,1,0.375
2022년 3월 10일,3588,4,4,5947,Access View,2022-03-10 오전 10:54:33,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 1:54:33,Thursday,1,0.375
2022년 3월 10일,3589,4,4,5947,Access View,2022-03-10 오전 10:54:38,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 1:54:38,Thursday,1,0.375
2022년 3월 10일,3590,4,4,5947,Access View,2022-03-10 오후 12:53:08,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 3:53:08,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6443,Access View,2022-03-10 오후 1:10:39,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:10:39,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:13:33,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:13:33,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6443,Access View,2022-03-10 오후 1:15:03,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:15:03,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:15:16,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:15:16,Thursday,1,0.375
2022년 3월 10일,3590,4,4,6443,Access View,2022-03-10 오후 1:15:22,재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:15:22,Thursday,1,0.375
2022년 3월 10일,3591,4,4,6443,Access View,2022-03-10 오후 1:15:40,재해 추이,안전 현황,Default,Access View ,2022-03-10 오전 4:15:40,Thursday,1,0.375
2022년 3월 10일,3592,4,4,6443,Access View,2022-03-10 오후 1:15:46,재해 유형,안전 현황,Default,Access View ,2022-03-10 오전 4:15:46,Thursday,1,0.375
2022년 3월 10일,3593,4,4,6443,Access View,2022-03-10 오후 1:16:00,현장/협력사별 재해 현황,안전 현황,Default,Access View ,2022-03-10 오전 4:16:00,Thursday,1,0.375
