name (hist_projects),id (hist_projects),project_id,Id (Hist Views),username,action_view,created_at_local,Name (Hist Views),Name (Hist Workbooks),Site,Action,Created At,Number of Records,tz_offset_days
기본값,3,1,305,admin,Access View,2021-09-17 오전 9:35:08,자금,재무현황,Default,Access View ,2021-09-17 오전 12:35:08,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:35:15,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:35:15,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:35:18,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:35:18,1,0.375
기본값,3,1,152,admin,Access View,2021-09-17 오전 9:35:31,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-17 오전 12:35:31,1,0.375
기본값,3,1,305,admin,Access View,2021-09-17 오전 9:35:33,자금,재무현황,Default,Access View ,2021-09-17 오전 12:35:33,1,0.375
기본값,3,1,26,admin,Access View,2021-09-17 오전 9:35:55,인력운영 정보,현산_인사,Default,Access View ,2021-09-17 오전 12:35:55,1,0.375
기본값,3,1,123,admin,Access View,2021-09-17 오전 9:35:56,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-17 오전 12:35:56,1,0.375
기본값,3,1,306,admin,Access View,2021-09-17 오전 9:36:04,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 12:36:04,1,0.375
기본값,3,1,305,admin,Access View,2021-09-17 오전 9:36:07,자금,재무현황,Default,Access View ,2021-09-17 오전 12:36:07,1,0.375
EIS,4,4,598,admin,Access View,2021-09-17 오전 10:07:55,카드,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 1:07:55,1,0.375
EIS,4,4,333,admin,Access View,2021-09-17 오전 10:41:19,HR 현황,HR_인사통계_개발_0915,Default,Access View ,2021-09-17 오전 1:41:19,1,0.375
EIS,4,4,599,admin,Access View,2021-09-17 오전 10:49:42,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 1:49:42,1,0.375
EIS,4,4,600,admin,Access View,2021-09-17 오전 10:50:03,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 1:50:03,1,0.375
EIS,4,4,599,admin,Access View,2021-09-17 오전 10:50:06,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 1:50:06,1,0.375
EIS,4,4,599,admin,Access View,2021-09-17 오후 1:01:14,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 4:01:14,1,0.375
EIS,4,4,599,admin,Access View,2021-09-17 오후 1:39:33,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-17 오전 4:39:33,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오전 8:50:18,카드,"수주, 공급, 판매",Default,Access View ,2021-09-22 오후 11:50:18,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 8:50:27,자금,재무현황,Default,Access View ,2021-09-22 오후 11:50:27,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 8:50:30,자금,재무현황,Default,Access View ,2021-09-22 오후 11:50:30,1,0.375
기본값,3,1,26,admin,Access View,2021-09-23 오전 8:50:34,인력운영 정보,현산_인사,Default,Access View ,2021-09-22 오후 11:50:34,1,0.375
기본값,3,1,123,admin,Access View,2021-09-23 오전 8:50:43,HR 현황,HR_인사통계_개발_0909,Default,Access View ,2021-09-22 오후 11:50:43,1,0.375
기본값,3,1,152,admin,Access View,2021-09-23 오전 8:51:08,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-22 오후 11:51:08,1,0.375
EIS,4,4,598,admin,Access View,2021-09-23 오전 9:42:47,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 12:42:47,1,0.375
EIS,4,4,599,admin,Access View,2021-09-23 오전 9:42:50,수주/공급 현황,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 12:42:50,1,0.375
EIS,4,4,600,admin,Access View,2021-09-23 오전 9:42:54,수주/공급/분양,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 12:42:54,1,0.375
EIS,4,4,605,admin,Access View,2021-09-23 오전 9:43:02,자금,재무현황,Default,Access View ,2021-09-23 오전 12:43:02,1,0.375
EIS,4,4,605,admin,Access View,2021-09-23 오전 9:49:41,자금,재무현황,Default,Access View ,2021-09-23 오전 12:49:41,1,0.375
EIS,4,4,609,admin,Access View,2021-09-23 오전 9:50:18,HR추이(월별),HR_인사통계,Default,Access View ,2021-09-23 오전 12:50:18,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:31:34,자금,재무현황,Default,Access View ,2021-09-23 오전 1:31:34,1,0.375
EIS,4,4,605,admin,Access View,2021-09-23 오전 10:41:45,자금,재무현황,Default,Access View ,2021-09-23 오전 1:41:45,1,0.375
기본값,3,1,305,admin,Access View,2021-09-23 오전 10:50:56,자금,재무현황,Default,Access View ,2021-09-23 오전 1:50:56,1,0.375
기본값,3,1,26,admin,Access View,2021-09-23 오전 10:51:21,인력운영 정보,현산_인사,Default,Access View ,2021-09-23 오전 1:51:21,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오전 10:51:26,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 1:51:26,1,0.375
기본값,3,1,152,admin,Access View,2021-09-23 오전 10:51:34,주요 재무 현황 및 지표,주요 재무 현황 및 지표,Default,Access View ,2021-09-23 오전 1:51:34,1,0.375
기본값,3,1,306,admin,Access View,2021-09-23 오전 10:52:02,카드,"수주, 공급, 판매",Default,Access View ,2021-09-23 오전 1:52:02,1,0.375
